product_family,rows,auto_approval_rate,median_ape,p90_ape,interval_coverage
CPU_AND_PROCESSOR,1605,0.30343,0.04524,0.10936,0.87227
GPU_AND_GRAPHICS,583,0.34477,0.04842,0.10833,0.88336
MEMORY_AND_STORAGE,4700,0.42915,0.04278,0.10141,0.88809
MOTHERBOARD,366,0.48087,0.04242,0.10049,0.89344
NETWORKING,2068,0.44632,0.04375,0.10559,0.92795
OTHER_COMPUTE,5099,0.52775,0.04193,0.09959,0.94175
SERVER_AND_ACCELERATOR,257,0.27626,0.05294,0.13225,0.80545
THERMAL_AND_POWER,2213,0.36873,0.04142,0.09738,0.94668
WORKSTATION_AND_PC,4218,0.56211,0.03814,0.09447,0.94689
